 Users;;;;;;;;;;;;;
UserId;FullName;BirthDate;PhoneNumber;Email;Passwords;AddressDelivery;ShopeeCoins;;;;;;
US10000;Bà An Lê;25/04/2000;750864605;baanle0@gmail.com;Pass@1230;356 John Khu, Quận 1, TP.HCM;0;;;;;;
US10001;Bảo Thị Trần;28/12/1987;768071945;baothitran1@gmail.com;Pass@1231;450 Jane Tổ, Quận 1, TP.HCM;5000;;;;;;
US10002;Cô Xuân Đặng;01/07/1978;835438345;coxuandang2@gmail.com;Pass@1232;37 Jane Số, Phú Nhuận, TP.HCM;0;;;;;;
US10003;Minh Thế Trần;13/09/1986;414636801;minhthetran3@gmail.com;Pass@1233;537 Đặng Tổ, Quận 1, TP.HCM;5000;;;;;;
US10004;Hải Trần;26/07/1973;484843184;haitran4@gmail.com;Pass@1234;53 John Đường, Quận 1, TP.HCM;0;;;;;;
US10005;Quang Đức Phạm;04/04/1979;729488897;quangducpham5@gmail.com;Pass@1235;801 John Hẻm, Bình Thạnh, TP.HCM;5000;;;;;;
US10006;Phúc Phú Nguyễn;09/06/1979;711089751;phucphunguyen6@gmail.com;Pass@1236;640 Jane Làng, Quận 10, TP.HCM;0;;;;;;
US10007;Chị Hà Trần;18/08/1993;929297616;chihatran7@gmail.com;Pass@1237;832 John Làng, Quận 10, TP.HCM;1000;;;;;;
US10008;Kim Hữu Phạm;06/02/1977;492562195;kimhuupham8@gmail.com;Pass@1238;437 Bùi Ngõ, Phú Nhuận, TP.HCM;0;;;;;;
US10009;Hải Lê;05/11/1967;670948545;haile9@gmail.com;Pass@1239;615 Jane Hẻm, Quận 3, TP.HCM;1000;;;;;;
US10010;Anh Tùng Nguyễn;25/05/1992;517818125;anhtungnguyen10@gmail.com;Pass@12310;510 Vũ Đường, Tân Bình, TP.HCM;0;;;;;;
US10011;Hoàng Trí Nguyễn;01/10/1978;743528731;hoangtringuyen11@gmail.com;Pass@12311;395 Trần Tổ, Quận 1, TP.HCM;5000;;;;;;
US10012;Hải Quang Nguyễn;06/03/1966;367324830;haiquangnguyen12@gmail.com;Pass@12312;479 Nguyễn Đường, Bình Thạnh, TP.HCM;1000;;;;;;
US10013;Hạnh Hải Mai;13/11/1985;651568804;hanhhaimai13@gmail.com;Pass@12313;661 John Tổ, Tân Bình, TP.HCM;5000;;;;;;
US10014;Lâm Trần;29/01/2007;450929605;lamtran14@gmail.com;Pass@12314;96 Đặng Đường, Quận 10, TP.HCM;5000;;;;;;
US10015;Nhật Vũ;20/01/1974;673633874;nhatvu15@gmail.com;Pass@12315;232 Jane Làng, Quận 10, TP.HCM;0;;;;;;
US10016;Anh Lê;28/01/2003;363471757;anhle16@gmail.com;Pass@12316;700 John Đường, Quận 3, TP.HCM;0;;;;;;
US10017;Ông Minh Lê;14/02/1967;862953467;ongminhle17@gmail.com;Pass@12317;565 Jane Dãy, Quận 1, TP.HCM;0;;;;;;
US10018;Bà Nhật Vũ;24/01/2002;740724351;banhatvu18@gmail.com;Pass@12318;352 Jane Đường, Bình Thạnh, TP.HCM;0;;;;;;
US10019;Bà Hương Dương;14/06/1996;557752368;bahuongduong19@gmail.com;Pass@12319;463 Jane Khu, Quận 1, TP.HCM;0;;;;;;
US10020;Hưng Phạm;31/08/2001;835575977;hungpham20@gmail.com;Pass@12320;728 John Hẻm, Phú Nhuận, TP.HCM;1000;;;;;;
US10021;Phương Dương;11/03/1986;839006190;phuongduong21@gmail.com;Pass@12321;690 Dương Làng, Tân Bình, TP.HCM;0;;;;;;
US10022;Bà Mai Bùi;24/02/1999;460515730;bamaibui22@gmail.com;Pass@12322;345 Hoàng Ngõ, Quận 1, TP.HCM;0;;;;;;
US10023;Mai Lê;09/06/2004;551412149;maile23@gmail.com;Pass@12323;304 John Dãy, Quận 5, TP.HCM;0;;;;;;
US10024;Quý ông Vũ Nguyễn;17/09/1971;989322015;quyongvunguyen24@gmail.com;Pass@12324;674 Bùi Làng, Phú Nhuận, TP.HCM;5000;;;;;;
US10025;Khoa Quang Nguyễn;18/06/1995;926197502;khoaquangnguyen25@gmail.com;Pass@12325;816 John Dãy, Quận 3, TP.HCM;0;;;;;;
US10026;Kim Hoàng;15/04/2002;842481196;kimhoang26@gmail.com;Pass@12326;817 Hoàng Đường, Quận 3, TP.HCM;5000;;;;;;
US10027;Bảo Văn Hoàng;28/07/1987;872130625;baovanhoang27@gmail.com;Pass@12327;899 Nguyễn Khu, Bình Thạnh, TP.HCM;1000;;;;;;
US10028;Quý cô An Trần;08/05/1989;740973154;quycoantran28@gmail.com;Pass@12328;676 Jane Làng, Quận 1, TP.HCM;0;;;;;;
US10029;Bác Khoa Phạm;14/09/1987;460100463;backhoapham29@gmail.com;Pass@12329;763 John Đường, Tân Bình, TP.HCM;0;;;;;;
US10030;Bác Trung Đặng;07/09/1985;652077619;bactrungdang30@gmail.com;Pass@12330;51 John Ngõ, Quận 10, TP.HCM;5000;;;;;;
US10031;Huy Hoàng Dương;24/08/1992;849766474;huyhoangduong31@gmail.com;Pass@12331;325 Jane Đường, Quận 3, TP.HCM;1000;;;;;;
US10032;Bác Dũng Dương;29/09/1974;678140725;bacdungduong32@gmail.com;Pass@12332;485 Jane Dãy, Phú Nhuận, TP.HCM;0;;;;;;
