UserId;FullName;BirthDate;PhoneNumber;Email;AddressDelivery;Passwords;ShopeeCoins;;;;;;
US10000;Lê Nguyễn;02/10/1989;977634233;lenguyen0@gmail.com;Số 65 Võ Văn Kiệt, Quận 5, TP.HCM;c9c1955571fe7fc12e8590c5db735207aa81cb4629a092c939f0d2b5a475152a;28000;;;;;;
US10001;Vương Nhàn;25/02/1970;924770302;vuongnhan1@gmail.com;Số 10 Lê Lợi, Phú Nhuận, TP.HCM;17c92e031d7d0d83a46ac8a9382ddb64ef3346a55537bc789ffd2e870ea748a0;33000;;;;;;
US10002;Phan Long;04/05/2005;954878285;phanlong2@gmail.com;Số 50 Lê Lợi, Quận 1, TP.HCM;26c3688aec39e9771d57510241272955a244ebdf23745087463e2ea4618386bf;24000;;;;;;
US10003;Hồ Tô Hoàng Tâm;31/08/1974;986250072;hotohoangtam3@gmail.com;Số 39 Điện Biên Phủ, Quận 3, TP.HCM;693b276be27c15112dcb55808cf824e55e34397b101d1fb309de25ce3397e538;43000;;;;;;
US10004;Vương Thanh;10/04/1976;971829150;vuongthanh4@gmail.com;Số 105 Điện Biên Phủ, Phú Nhuận, TP.HCM;f6c5e81c782a2021a536901a983a3a3d598d5b4bb147e69057f22728e397b93f;48000;;;;;;
US10005;Bùi Đào Nhàn;11/03/1976;966651729;buidaonhan5@gmail.com;Số 59 Võ Văn Kiệt, Quận 5, TP.HCM;798fa660215449856cf094faae85ef64b6cbbe0a2ae7741b0b4fa902c271daca;48000;;;;;;
US10006;Bùi Kha Phan Thanh;02/08/1993;940161959;buikhaphanthanh6@gmail.com;Số 181 Hai Bà Trưng, Quận 1, TP.HCM;dbf99a9e35c3166924ab3c541e3b65859cb56e7e753085a55d1bb3544ca0c70c;15000;;;;;;
US10007;Dương Ngô Trần;09/08/2001;959995702;duongngotran7@gmail.com;Số 65 Lê Lợi, Bình Thạnh, TP.HCM;27b3a306d4f96800ce014374ea796542fae446b7a74d3479816e3a5267491476;30000;;;;;;
US10008;Phạm Trinh;19/10/1996;970352617;phamtrinh8@gmail.com;Số 63 Võ Văn Kiệt, Quận 10, TP.HCM;c5b97f6b2a80527bde398ba2e3a2b2b7135e060ceb1adf2307f5891e8f512ab5;36000;;;;;;
US10009;Mai Nguyễn Vinh Phan;23/05/1986;978893403;mainguyenvinhphan9@gmail.com;Số 149 Điện Biên Phủ, Tân Bình, TP.HCM;fad75b900ecaee298f22faeb47c15e5534ab4bd1dbd2f89d45b4c3acb6f0c243;37000;;;;;;
US10010;Phạm Tăng Đặng Phùng;28/06/1971;944886055;phamtangdangphung10@gmail.com;Số 50 Lê Lợi, Phú Nhuận, TP.HCM;8b96be0cb805d37f2150c7740218056cd2ac26346b9a33be47c201088f2bee5b;30000;;;;;;
US10011;Lê Đặng;14/03/2001;942021713;ledang11@gmail.com;Số 30 Hai Bà Trưng, Phú Nhuận, TP.HCM;49427b3b45881564c0692a6ca5b498d1560f01474fdad1f8488fe8a47d23a35e;8000;;;;;;
US10012;Phùng Triệu Sơn Trung;27/02/1989;960724294;phungtrieusontrung12@gmail.com;Số 154 Điện Biên Phủ, Quận 5, TP.HCM;4a57631c9b1642b93ad2cbef95b776ac945fc06a3462ac92e52bed446e94c8ff;10000;;;;;;
US10013;Đỗ Tâm;03/11/1977;914125368;dotam13@gmail.com;Số 71 Võ Văn Kiệt, Gò Vấp, TP.HCM;8162af03658dd7b0587acfd07b46ea19f96ff1b3555ebaedbb4ad050ce20280f;41000;;;;;;
